     (m),     (m),   (hPa),    (°C),     (%),(ug/m^3),(ug/m^3),(ug/m^3),   (m/s),     (°),     (K),    (°C),  (g/kg),  (g/kg),     (K),     (K),   (ppb),   (ppm),   (ppb),   (ppb),   (ppm),   (ppb),   (ppm)
     agl,     asl,       P,       T,      RH,     PM1,    PM25,    PM10,      ws,      wd,   theta,      Td,       q,    mixR,      Tv,  thetav,      O3,      CO,     SO2,     NO2,     NH3,     H2S,    TVOC
   447.5,   465.5,  964.51,   18.02,   92.24,      12,      25,      26,    4.14,   13.91,  294.19,   16.74,   12.28,   12.43,  293.35,  296.39,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   452.5,   470.5,  963.92,   17.97,   92.38,      13,      25,      26,    4.12,   13.68,  294.20,   16.72,   12.27,   12.43,  293.30,  296.40,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   457.5,   475.5,  963.32,   17.93,   92.51,      13,      25,      26,    4.10,   13.50,  294.21,   16.70,   12.26,   12.42,  293.26,  296.41,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   462.5,   480.5,  962.71,   17.89,   92.64,      13,      25,      26,    4.09,   13.33,  294.22,   16.68,   12.26,   12.41,  293.21,  296.42,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   467.5,   485.5,  962.12,   17.84,   92.78,      13,      25,      26,    4.03,   12.46,  294.23,   16.66,   12.25,   12.40,  293.17,  296.42,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   472.5,   490.5,  961.67,   17.82,   92.87,      13,      25,      26,    4.01,   12.54,  294.24,   16.65,   12.25,   12.40,  293.14,  296.44,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   477.5,   495.5,  961.00,   17.78,   93.01,      13,      25,      26,    3.97,   12.39,  294.25,   16.63,   12.24,   12.39,  293.10,  296.45,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   482.5,   500.5,  960.43,   17.74,   93.15,      13,      25,      26,    3.95,   11.67,  294.26,   16.61,   12.24,   12.39,  293.06,  296.46,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   487.5,   505.5,  960.06,   17.71,   93.25,      13,      25,      26,    3.94,   11.18,  294.27,   16.60,   12.23,   12.39,  293.03,  296.46,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   492.5,   510.5,  959.60,   17.68,   93.35,      13,      25,      26,    3.91,   10.51,  294.28,   16.59,   12.23,   12.38,  293.00,  296.48,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   497.5,   515.5,  958.86,   17.64,   93.50,      14,      30,      35,    3.86,    9.64,  294.31,   16.58,   12.23,   12.38,  292.96,  296.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   502.5,   520.5,  958.25,   17.59,   93.70,      14,      30,      35,    3.83,    8.77,  294.31,   16.56,   12.23,   12.38,  292.91,  296.50,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   507.5,   525.5,  957.61,   17.55,   93.86,      13,      30,      35,    3.79,    7.91,  294.32,   16.55,   12.22,   12.37,  292.87,  296.52,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   512.5,   530.5,  957.23,   17.53,   93.96,      13,      30,      35,    3.75,    6.73,  294.33,   16.54,   12.22,   12.37,  292.84,  296.53,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   517.5,   535.5,  956.62,   17.49,   94.13,      14,      28,      33,    3.73,    5.94,  294.35,   16.53,   12.22,   12.37,  292.80,  296.54,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   522.5,   540.5,  956.03,   17.45,   94.30,      13,      27,      31,    3.67,    4.91,  294.36,   16.52,   12.22,   12.37,  292.76,  296.55,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   527.5,   545.5,  955.43,   17.41,   94.47,      13,      27,      30,    3.67,    4.31,  294.37,   16.51,   12.22,   12.37,  292.72,  296.56,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   532.5,   550.5,  954.83,   17.36,   94.64,      13,      26,      29,    3.67,    3.71,  294.38,   16.49,   12.22,   12.37,  292.68,  296.57,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   537.5,   555.5,  954.45,   17.34,   94.76,      13,      25,      29,    3.66,    3.33,  294.39,   16.49,   12.22,   12.37,  292.65,  296.58,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   542.5,   560.5,  953.80,   17.29,   94.94,      14,      24,      28,    3.65,    2.74,  294.40,   16.47,   12.21,   12.36,  292.61,  296.59,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   547.5,   565.5,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   552.5,   570.5,  952.78,   17.24,   95.18,      14,      24,      28,    3.61,    1.66,  294.43,   16.46,   12.21,   12.36,  292.55,  296.62,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   557.5,   575.5,  952.32,   17.19,   95.36,      15,      25,      30,    3.58,    1.01,  294.43,   16.44,   12.21,   12.36,  292.50,  296.62,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   562.5,   580.5,  951.62,   17.14,   95.55,      16,      26,      29,    3.53,  359.93,  294.44,   16.43,   12.20,   12.35,  292.46,  296.63,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   567.5,   585.5,  951.14,   17.10,   95.72,      16,      26,      29,    3.51,  359.65,  294.44,   16.41,   12.20,   12.35,  292.41,  296.63,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   572.5,   590.5,  950.44,   17.05,   95.89,      17,      28,      33,    3.45,  359.09,  294.45,   16.39,   12.19,   12.34,  292.36,  296.64,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   577.5,   595.5,  949.95,   17.00,   96.06,      17,      28,      33,    3.42,  358.34,  294.44,   16.37,   12.18,   12.33,  292.31,  296.63,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   582.5,   600.5,  949.26,   16.95,   96.20,      17,      28,      33,    3.32,  357.30,  294.46,   16.34,   12.17,   12.32,  292.26,  296.64,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   587.5,   605.5,  948.79,   16.91,   96.34,      17,      28,      33,    3.28,  356.88,  294.45,   16.32,   12.16,   12.31,  292.21,  296.63,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
   592.5,   610.5,  948.18,   16.87,   96.42,      17,      28,      33,    3.17,  356.17,  294.47,   16.30,   12.15,   12.30,  292.17,  296.65,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN
